model_name,sigma,err
dmd,0.01,0.0013594256461611
dmd,0.0311111111111111,0.0013984025202314
dmd,0.0522222222222222,0.0015279645672608
dmd,0.0733333333333333,0.0018330041358822
dmd,0.0944444444444444,0.0024032329645428
dmd,0.1155555555555555,0.0033072574885854
dmd,0.1366666666666667,0.0045778038296804
dmd,0.1577777777777778,0.0062092386706713
dmd,0.1788888888888889,0.0081641458839232
dmd,0.2,0.0103842216346038
dmd,0.01,0.0013877585923944
dmd,0.0311111111111111,0.001455729161164
dmd,0.0522222222222222,0.0016717853244822
dmd,0.0733333333333333,0.0021452018874385
dmd,0.0944444444444444,0.0029716155939573
dmd,0.1155555555555555,0.00419979465703
dmd,0.1366666666666667,0.0058237648790562
dmd,0.1577777777777778,0.0077936926441332
dmd,0.1788888888888889,0.0100343479603879
dmd,0.2,0.012462539719855
dmd,0.01,0.0016427130221427
dmd,0.0311111111111111,0.0016822265308762
dmd,0.0522222222222222,0.0018280734419476
dmd,0.0733333333333333,0.0022038192257671
dmd,0.0944444444444444,0.0029393311962424
dmd,0.1155555555555555,0.0041290295947827
dmd,0.1366666666666667,0.0058084973779432
dmd,0.1577777777777778,0.0079529883406141
dmd,0.1788888888888889,0.0104916671598677
dmd,0.2,0.0133280436764295
dmd,0.01,0.0015731714293147
dmd,0.0311111111111111,0.0016462204410968
dmd,0.0522222222222222,0.001913228078431
dmd,0.0733333333333333,0.002587997934547
dmd,0.0944444444444444,0.0039022586327131
dmd,0.1155555555555555,0.0060283708691044
dmd,0.1366666666666667,0.0090311294519096
dmd,0.1577777777777778,0.0128614798657151
dmd,0.1788888888888889,0.0173827723676676
dmd,0.2,0.0224105993598572
dmd,0.01,0.001388204919644
dmd,0.0311111111111111,0.0014562243609981
dmd,0.0522222222222222,0.0016661091605892
dmd,0.0733333333333333,0.0021397811016416
dmd,0.0944444444444444,0.0030108382581203
dmd,0.1155555555555555,0.004386522033672
dmd,0.1366666666666667,0.0063222856994129
dmd,0.1577777777777778,0.0088141868216427
dmd,0.1788888888888889,0.0118065426793245
dmd,0.2,0.0152082033369515
dmd,0.01,0.0015465208716618
dmd,0.0311111111111111,0.0015895759784852
dmd,0.0522222222222222,0.0017303217138258
dmd,0.0733333333333333,0.0020736074073797
dmd,0.0944444444444444,0.002730376364752
dmd,0.1155555555555555,0.0037837204508601
dmd,0.1366666666666667,0.0052702483344077
dmd,0.1577777777777778,0.0071785552810998
dmd,0.1788888888888889,0.0094595551165525
dmd,0.2,0.0120414876413373
dmd,0.01,0.0014816892319958
dmd,0.0311111111111111,0.0015089004936653
dmd,0.0522222222222222,0.0015850678929822
dmd,0.0733333333333333,0.0017645420829178
dmd,0.0944444444444444,0.0021136621689849
dmd,0.1155555555555555,0.0026947584786446
dmd,0.1366666666666667,0.0035534367080273
dmd,0.1577777777777778,0.004711865455551
dmd,0.1788888888888889,0.0061681600304255
dmd,0.2,0.0079001847058518
dmd,0.01,0.0014019144624839
dmd,0.0311111111111111,0.0015009312497007
dmd,0.0522222222222222,0.0018034512727429
dmd,0.0733333333333333,0.0024781353444232
dmd,0.0944444444444444,0.0037064148460783
dmd,0.1155555555555555,0.0056246386267814
dmd,0.1366666666666667,0.0082879568467807
dmd,0.1577777777777778,0.0116640205770128
dmd,0.1788888888888889,0.015650372919678
dmd,0.2,0.0201029349509112
dmd,0.01,0.0016362142086851
dmd,0.0311111111111111,0.0016916681228509
dmd,0.0522222222222222,0.001999546090908
dmd,0.0733333333333333,0.0028534917596182
dmd,0.0944444444444444,0.0044842320642261
dmd,0.1155555555555555,0.0069793156823666
dmd,0.1366666666666667,0.0102843577122864
dmd,0.1577777777777778,0.0142503663526196
dmd,0.1788888888888889,0.0186885047165
dmd,0.2,0.0234113779841837
dmd,0.01,0.0016362178873936
dmd,0.0311111111111111,0.0016360664472859
dmd,0.0522222222222222,0.0017906673871861
dmd,0.0733333333333333,0.0023270490163
dmd,0.0944444444444444,0.0034391351161706
dmd,0.1155555555555555,0.0052278258759873
dmd,0.1366666666666667,0.0076921574096458
dmd,0.1577777777777778,0.0107538223543231
dmd,0.1788888888888889,0.0142920087307038
dmd,0.2,0.0181735407859972
gp,0.01,1.5163855421332576e-05
gp,0.0311111111111111,0.0001071759320233
gp,0.0522222222222222,0.0002211875153704
gp,0.0733333333333333,0.0003927477713348
gp,0.0944444444444444,0.0006658062897651
gp,0.1155555555555555,0.0010828398460218
gp,0.1366666666666667,0.0016684721293143
gp,0.1577777777777778,0.0024272387424045
gp,0.1788888888888889,0.0033480068912483
gp,0.2,0.0044200245526929
gp,0.01,1.927723453255845e-05
gp,0.0311111111111111,8.319431648065759e-05
gp,0.0522222222222222,0.0001978881549602
gp,0.0733333333333333,0.0004858876192046
gp,0.0944444444444444,0.0009800088127846
gp,0.1155555555555555,0.0018736987764672
gp,0.1366666666666667,0.0031127843182617
gp,0.1577777777777778,0.0045782701312839
gp,0.1788888888888889,0.0061648977668602
gp,0.2,0.0078179699871485
gp,0.01,1.029912652345982e-05
gp,0.0311111111111111,7.547606244005484e-05
gp,0.0522222222222222,0.0003054281364192
gp,0.0733333333333333,0.0006937049607483
gp,0.0944444444444444,0.0012734677632079
gp,0.1155555555555555,0.0022577164664081
gp,0.1366666666666667,0.003593236192883
gp,0.1577777777777778,0.0050886954506378
gp,0.1788888888888889,0.0067901239531191
gp,0.2,0.0086701512968118
gp,0.01,1.493005277298085e-05
gp,0.0311111111111111,8.975331071041091e-05
gp,0.0522222222222222,0.000313431549981
gp,0.0733333333333333,0.0007801983729159
gp,0.0944444444444444,0.0016782227162923
gp,0.1155555555555555,0.0031085104718936
gp,0.1366666666666667,0.0050999275056608
gp,0.1577777777777778,0.0076389213433964
gp,0.1788888888888889,0.010672300940014
gp,0.2,0.0141219543959257
gp,0.01,9.830163850015e-06
gp,0.0311111111111111,6.383590736574371e-05
gp,0.0522222222222222,0.0001910452692121
gp,0.0733333333333333,0.0004341104612202
gp,0.0944444444444444,0.0007757061321211
gp,0.1155555555555555,0.001381917216962
gp,0.1366666666666667,0.0023221874532645
gp,0.1577777777777778,0.0036142830554601
gp,0.1788888888888889,0.005261921511845
gp,0.2,0.0072520659327768
gp,0.01,1.0495502605794816e-05
gp,0.0311111111111111,9.468220882046866e-05
gp,0.0522222222222222,0.0002991316573088
gp,0.0733333333333333,0.0005925199334999
gp,0.0944444444444444,0.0009759917153417
gp,0.1155555555555555,0.0015318492565419
gp,0.1366666666666667,0.0022948974285571
gp,0.1577777777777778,0.0032774869414811
gp,0.1788888888888889,0.0044774225495577
gp,0.2,0.0058775771717205
gp,0.01,7.41718516236016e-06
gp,0.0311111111111111,4.679311295332027e-05
gp,0.0522222222222222,0.0001553767969639
gp,0.0733333333333333,0.0003544066730342
gp,0.0944444444444444,0.0006854500394671
gp,0.1155555555555555,0.0011926948515695
gp,0.1366666666666667,0.0018747864711138
gp,0.1577777777777778,0.0026893445481401
gp,0.1788888888888889,0.0036927773920934
gp,0.2,0.0049049361599113
gp,0.01,9.562097672302986e-06
gp,0.0311111111111111,8.106855031872355e-05
gp,0.0522222222222222,0.0002745523324672
gp,0.0733333333333333,0.0006373089199651
gp,0.0944444444444444,0.0012176421236676
gp,0.1155555555555555,0.0022115345680602
gp,0.1366666666666667,0.003660465574319
gp,0.1577777777777778,0.0056237741490954
gp,0.1788888888888889,0.0081148645681443
gp,0.2,0.011092703690212
gp,0.01,1.241072688403722e-05
gp,0.0311111111111111,0.0001626855402285
gp,0.0522222222222222,0.0005141712973416
gp,0.0733333333333333,0.0010175389819299
gp,0.0944444444444444,0.0017193008982513
gp,0.1155555555555555,0.0027771599214305
gp,0.1366666666666667,0.0042182826863413
gp,0.1577777777777778,0.0059846939344926
gp,0.1788888888888889,0.0080104168081511
gp,0.2,0.0102722867773136
gp,0.01,1.9982950322513603e-05
gp,0.0311111111111111,8.517598043795097e-05
gp,0.0522222222222222,0.0003087405314426
gp,0.0733333333333333,0.0007663010715054
gp,0.0944444444444444,0.0014725016619457
gp,0.1155555555555555,0.002759311814831
gp,0.1366666666666667,0.0046113518252494
gp,0.1577777777777778,0.0069970828303136
gp,0.1788888888888889,0.0098624257346051
gp,0.2,0.0131189389531903
nn,0.01,0.0001681118390635
nn,0.0311111111111111,0.000908992617795
nn,0.0522222222222222,0.0009047164484045
nn,0.0733333333333333,0.0009640099455791
nn,0.0944444444444444,0.0011451965015532
nn,0.1155555555555555,0.0015992443719657
nn,0.1366666666666667,0.0029879815422772
nn,0.1577777777777778,0.0026127745069269
nn,0.1788888888888889,0.0030766282930641
nn,0.2,0.0038324968462927
nn,0.01,4.2026070708185015e-05
nn,0.0311111111111111,0.000594885466602
nn,0.0522222222222222,0.0026946998458233
nn,0.0733333333333333,0.003723615398643
nn,0.0944444444444444,0.0035451100080449
nn,0.1155555555555555,0.0039252510577601
nn,0.1366666666666667,0.0062914384742221
nn,0.1577777777777778,0.0077458431105008
